condition,subject,trial,phase,cycle_phase,target_angle,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,instruct_phase,instruct_state
low,34,143,generalisation,8,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.74583465491761,,1.0
low,34,144,generalisation,8,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.68020473772402,,1.0
low,34,145,generalisation,8,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.803385572152482,,1.0
low,34,146,generalisation,8,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.22421939013128,,1.0
low,34,147,generalisation,8,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.56278997216689,,1.0
low,34,148,generalisation,8,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.393682752392184,,1.0
low,34,149,generalisation,8,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.745147513454086,,1.0
low,34,150,generalisation,8,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.241394539641313,,1.0
low,34,151,generalisation,8,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.65990005734783,,1.0
low,34,152,generalisation,8,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.520055954438362,,1.0
low,34,153,generalisation,9,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.680044142361655,,1.0
low,34,154,generalisation,9,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.13999060633976,,1.0
low,34,155,generalisation,9,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.226951206427294,,1.0
low,34,156,generalisation,9,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.328604068176546,,1.0
low,34,157,generalisation,9,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.92554862035916,,1.0
low,34,158,generalisation,9,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.034309285389064,,1.0
low,34,159,generalisation,9,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.657133296517493,,1.0
low,34,160,generalisation,9,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.254164467313178,,1.0
low,34,161,generalisation,9,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.17246438644477,,1.0
low,34,162,generalisation,9,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.98029936605401,,1.0
low,34,163,generalisation,9,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.645971913187278,,1.0
low,34,164,generalisation,9,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.723068738541894,,1.0
low,34,165,generalisation,10,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.015123643754915,,1.0
low,34,166,generalisation,10,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.023674957808307,,1.0
low,34,167,generalisation,10,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.2988558082693,,1.0
low,34,168,generalisation,10,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.810955737416784,,1.0
low,34,169,generalisation,10,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.795585892325484,,1.0
low,34,170,generalisation,10,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.9362080938535,,1.0
low,34,171,generalisation,10,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.46268529142751,,1.0
low,34,172,generalisation,10,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.443804218394156,,1.0
low,34,173,generalisation,10,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.18683564612233,,1.0
low,34,174,generalisation,10,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.678057352372115,,1.0
low,34,175,generalisation,10,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.620873087636497,,1.0
low,34,176,generalisation,10,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.81954943374871,,1.0
low,34,177,generalisation,11,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.2735344087512,,1.0
low,34,178,generalisation,11,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.05860733249636,,1.0
low,34,179,generalisation,11,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.47517270636126,,1.0
low,34,180,generalisation,11,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.308459154637166,,1.0
low,34,181,generalisation,11,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0681609256109,,1.0
low,34,182,generalisation,11,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.628261572143295,,1.0
low,34,183,generalisation,11,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.63351166052299,,1.0
low,34,184,generalisation,11,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.13618652799146,,1.0
