condition,subject,su,trial,delta_imv,fb_int,err_mp,err_mp_prev
fast,2,high,81,-4.31955153825588,-5.114224739170936,1.37451879602596,-1.2261593568374511
fast,2,high,84,0.07304305465738992,0.17440226565953765,-2.91813312426527,8.041108037877759
fast,2,high,86,-1.3645163019748026,-12.92883787503169,-2.422995570395793,3.6609394643301094
fast,2,high,87,-13.517362125084802,3.8455537003114557,11.094366554689008,-2.422995570395793
fast,2,high,89,-6.353762100302646,-5.640267044081,-1.9247475258600053,-4.267805060246889
fast,2,high,93,-11.088118484386769,1.9647470362773447,10.03436958672242,-1.6267066927951728
fast,2,high,95,-4.956438248889768,4.134669526689208,5.388499226407028,5.015723338563847
fast,2,high,99,6.877249956872134,-5.6528766194490885,-4.055429088123317,8.55139882005705
fast,2,high,103,-10.826354316039087,-3.345494193954792,3.616292806222271,-10.647808280601756
fast,2,high,104,-11.930271753601872,5.167398235915698,16.69248015008579,3.616292806222271
fast,2,high,105,-0.1600168786544316,3.853015078428058,13.414750257955282,16.69248015008579
fast,2,high,111,5.441876520500372,-0.47050380537228875,6.139943356963743,13.300693262856583
fast,2,high,113,9.493321085543599,-12.367943619395845,-19.49945373373346,3.744854434949893
fast,2,high,116,8.715790689577176,-11.152801590682472,1.3806649451881334,4.366877683457078
fast,2,high,119,13.271934868420743,-3.638261462142239,4.441129917521502,18.858980376203892
fast,2,high,122,-3.5591531415155515,-7.515924520931549,-7.830758896273865,-5.660334086481184
fast,2,high,127,-7.272545339518942,-1.3854857032871735,11.280707293015572,6.299993134019921
fast,2,high,132,10.850024090041117,-8.199138005839487,-11.855188558112504,0.7137089173210835
fast,2,high,140,0.8052844791447313,-4.50487229051727,4.393643399551394,5.198927878696125
fast,2,high,144,5.720664199806521,-13.606602108688051,-4.008594756023065,-0.00680394160901443
fast,2,high,147,-15.573348718593579,0.5365443139967709,17.300443993951827,2.3000530704890743
fast,2,inf,2,-2.753532572542994,2.107434644136191,5.69155050584564,2.938017933302646
fast,2,inf,3,10.553444515177318,-5.1978287685361835,-4.861894009331678,5.69155050584564
fast,2,inf,4,-8.700732315489532,4.329074186083503,3.8388383061578537,-4.861894009331678
fast,2,inf,9,-2.28259781618911,2.415280933950868,1.8682760081815388,-0.41432180800757124
fast,2,inf,18,-12.326470556633325,-1.5038314056331359,1.5544023746905822,-10.772068181942743
fast,2,inf,23,-12.864933291561655,-1.8332116277419601,4.475532931560011,-8.389400360001645
fast,2,inf,27,-5.164592776790201,-6.292858979486056,-2.0556947772178518,-7.220287554008053
fast,2,inf,32,4.7680815250500785,-10.290899432157843,-6.285971670261887,-1.5178901452118083
fast,2,inf,35,13.507411228931332,-10.6295917266051,-8.483274429017257,5.024136799914075
fast,2,inf,36,-6.11510006784016,-7.107968640627746,-2.368174361177097,-8.483274429017257
fast,2,inf,40,-14.061340104591551,-1.3228287378358345,0.890791197989131,-13.17054890660242
fast,2,inf,49,1.913792675205812,-1.5744044603185046,3.167757933481454,5.081550608687266
fast,2,inf,52,11.085733899503282,-3.3258210715680434,-4.066324920218591,7.019408979284691
fast,2,inf,56,2.60756873648981,-11.101205491456312,-11.009336567213197,-8.401767830723387
fast,2,inf,62,2.4852095470830022,-8.690242254908412,-10.832905557916831,-8.347696010833829
fast,2,inf,65,-0.7618149835146539,1.3534767351499255,-0.0414019272498507,-0.8032169107645046
fast,2,inf,66,5.458841533282154,-6.8868664728996265,-5.500243460532005,-0.0414019272498507
fast,2,inf,68,-4.6501172417709284,-7.5344653076595876,-3.604756566107554,-8.254873807878482
fast,2,inf,73,-5.00317283315762,-1.34031307283621,1.960747075257089,-3.0424257579005314
fast,2,inf,76,-10.11677591648889,-1.94186349540567,18.928888285402437,4.801407802997783
fast,2,inf,85,5.453041109151911,-10.151388807903174,3.6609394643301094,-2.91813312426527
fast,2,inf,96,24.6832164200018,-20.180566431269696,-12.419223652024892,5.388499226407028
fast,2,inf,97,-16.458641243111998,-4.86536410726589,4.039417591087107,-12.419223652024892
fast,2,inf,106,7.7127503197432645,-0.7097682409059587,3.983126552819547,13.414750257955282
fast,2,inf,107,0.5933037392510698,-1.6363945780071134,9.119400764876708,3.983126552819547
fast,2,inf,114,-11.949652436823627,-3.2940183245051884,6.201185786229921,-19.49945373373346
fast,2,inf,123,-1.362117040338191,-7.6661236486265665,-0.16610610949661897,-7.830758896273865
fast,2,inf,124,5.613296275424389,-9.407841417752678,-1.1957400238744214,-0.16610610949661897
fast,2,inf,126,9.116979938789129,-9.332318426496471,6.299993134019921,14.271057482547405
fast,2,inf,128,5.591606332672029,-4.791564479115706,3.970227574951073,11.280707293015572
fast,2,inf,131,1.3610000298984914,4.47583353028152,0.7137089173210835,13.53386484983604
fast,2,inf,135,-0.32118309285745283,-7.049592359142935,2.4413783516042606,3.839068644139278
fast,2,inf,136,0.19088138775272512,-7.032686218876208,-5.197954372849166,2.4413783516042606
fast,2,inf,139,6.8424172880145875,0.7680346937462872,5.198927878696125,10.322471781318244
fast,2,inf,143,-7.338148338475634,-3.547250405073001,-0.00680394160901443,-6.771994484953826
fast,2,inf,146,3.4623001599529744,-10.782781550051311,2.3000530704890743,-5.6968026721744165
fast,2,inf,148,-0.6943628691816741,5.931611637452136,20.286638043656794,17.300443993951827
fast,4,low,1,-6.269204436725175,1.5673187030824351,3.2942314232806496,-2.974973013444526
fast,4,low,3,-4.741560340053539,1.0321862648268194,0.11252403710616932,-4.62903630294737
fast,4,low,4,-2.513856572063574,4.501546370859742,2.6263806091697433,0.11252403710616932
fast,4,low,9,1.9222516850085611,-5.413818667975008,-6.862731881350214,-4.940480196341653
fast,4,low,12,0.5494416517251466,1.8349871869759227,1.0691558745363068,1.6185975262614534
fast,4,low,13,-0.8681208660758699,2.9279413581031264,1.9372767406121767,1.0691558745363068
fast,4,low,17,3.3150120008778288,-0.2445540659843175,-2.330005938545952,0.9850060623318768
fast,4,low,19,1.421844073861351,1.4627413651952281,0.3873939615189812,1.8092380353803321
fast,4,low,20,-1.407564627404426,2.88457620801195,1.7949585889234072,0.3873939615189812
fast,4,low,22,-2.257841145691202,5.3138889465376025,4.040523183132379,1.7826820374411767
fast,4,low,31,-3.3978375720862317,2.7148496422024806,-1.0903004835311805,-4.488138055617412
fast,4,low,35,-4.723858230044613,1.6449640582195428,1.2651417763416362,-3.4587164537029764
fast,4,low,42,-4.705307014489904,-1.1605027957038345,-3.108058934600251,-7.813365949090155
fast,4,low,43,2.1167191437379955,-3.951547315491922,-5.224778078338247,-3.108058934600251
fast,4,low,44,-3.081068176201356,-3.249395093150639,-2.143709902136891,-5.224778078338247
fast,4,low,46,8.461172584121798,2.0891077568795424,-1.415150048265886,7.046022535855911
fast,4,low,47,0.31973545167959116,0.048619272964700144,-1.7348854999454772,-1.415150048265886
fast,4,low,53,-1.0384958080594373,1.9387568352994293,2.625423787964664,1.5869279799052265
fast,4,low,56,1.8703829442320767,3.4525633582446176,1.6513096126454343,3.521692556877511
fast,4,low,68,0.7626389620767355,1.5223187022657356,-2.6159458016475696,-1.853306839570834
fast,4,low,69,-0.5621169075765238,2.456469056414406,-2.053828894071046,-2.6159458016475696
fast,4,low,77,10.173939403347546,-0.45572638080149375,5.571796756481911,19.75644072574522
fast,4,low,80,5.48618668455633,-0.06533155387725742,1.9814195744257592,6.321690668720443
fast,4,low,86,0.8669853052044374,4.601442103530545,10.63722604475008,8.066464579169578
fast,4,low,87,1.5596732422241644,8.547054714290539,4.49389044147933,10.63722604475008
fast,4,low,88,5.379058276059595,-0.6081050845999982,-3.1769990151035588,4.49389044147933
fast,4,low,93,-3.5267187209782946,4.498226551834975,10.102552830234794,1.9921717482099144
fast,4,low,94,1.256858788715732,8.078474916458106,7.6997784512574174,10.102552830234794
fast,4,low,101,6.9754334052585705,-6.123122115202094,-5.93880703855204,1.03662636670653
fast,4,low,103,1.4534796156041665,1.2341342695716548,8.833387534496413,-1.7452465476467074
