condition,subject,sub_task,block,acc
4F4K_congruent,23,1,13,0.8333333333333334
4F4K_congruent,23,1,14,0.9285714285714286
4F4K_congruent,23,1,15,0.625
4F4K_congruent,23,2,0,0.38461538461538464
4F4K_congruent,23,2,1,0.6153846153846154
4F4K_congruent,23,2,2,0.5
4F4K_congruent,23,2,3,0.6875
4F4K_congruent,23,2,4,0.7692307692307693
4F4K_congruent,23,2,5,0.6923076923076923
4F4K_congruent,23,2,6,0.75
4F4K_congruent,23,2,7,0.8571428571428571
4F4K_congruent,23,2,8,0.7857142857142857
4F4K_congruent,23,2,9,0.42857142857142855
4F4K_congruent,23,2,10,0.8
4F4K_congruent,23,2,11,0.5833333333333334
4F4K_congruent,23,2,12,0.75
4F4K_congruent,23,2,13,0.8571428571428571
4F4K_congruent,23,2,14,0.6363636363636364
4F4K_congruent,23,2,15,0.875
4F4K_congruent,27,1,0,0.5
4F4K_congruent,27,1,1,0.8
4F4K_congruent,27,1,2,0.4
4F4K_congruent,27,1,3,0.5454545454545454
4F4K_congruent,27,1,4,0.46153846153846156
4F4K_congruent,27,1,5,0.625
4F4K_congruent,27,1,6,0.9285714285714286
4F4K_congruent,27,1,7,0.625
4F4K_congruent,27,1,8,0.625
4F4K_congruent,27,1,9,0.5714285714285714
4F4K_congruent,27,1,10,0.6111111111111112
4F4K_congruent,27,1,11,0.875
4F4K_congruent,27,1,12,1.0
4F4K_congruent,27,1,13,0.5833333333333334
4F4K_congruent,27,1,14,0.5555555555555556
4F4K_congruent,27,1,15,0.5833333333333334
4F4K_congruent,27,2,0,0.6
4F4K_congruent,27,2,1,0.7333333333333333
4F4K_congruent,27,2,2,0.3
4F4K_congruent,27,2,3,0.2857142857142857
4F4K_congruent,27,2,4,0.3333333333333333
4F4K_congruent,27,2,5,0.3333333333333333
4F4K_congruent,27,2,6,0.7272727272727273
4F4K_congruent,27,2,7,0.5882352941176471
4F4K_congruent,27,2,8,0.6666666666666666
4F4K_congruent,27,2,9,0.5454545454545454
4F4K_congruent,27,2,10,0.2857142857142857
4F4K_congruent,27,2,11,0.47058823529411764
4F4K_congruent,27,2,12,0.8
4F4K_congruent,27,2,13,0.5384615384615384
4F4K_congruent,27,2,14,0.5625
4F4K_congruent,27,2,15,0.6666666666666666
4F4K_congruent,31,1,0,0.5454545454545454
4F4K_congruent,31,1,1,0.5384615384615384
4F4K_congruent,31,1,2,0.46153846153846156
4F4K_congruent,31,1,3,0.3333333333333333
4F4K_congruent,31,1,4,0.6666666666666666
4F4K_congruent,31,1,5,0.45454545454545453
4F4K_congruent,31,1,6,0.6
4F4K_congruent,31,1,7,0.46153846153846156
4F4K_congruent,31,1,8,0.4
