,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,instruct_phase,instruct_state,endpoint_theta,movement_time,movement_initiation_time
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.4751094656548647,30,2,80,,1.0,73.24846668217663,0.11681580000004033,0.4667487000001529
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1249488677040413,31,1,95,"You will now only see the cursor at the endpoint of your reach on some trials.
On the other trials you will not recieve feedback at all.
Please continue to slice through the target as quickly and accurately as possible.",1.0,112.54546868924052,0.11696830000028058,0.4496606999996402
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.706943746987061,32,1,80,,1.0,71.56505117707799,0.09935489999998026,0.5005066999997325
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.2047547143622737,33,1,85,,1.0,83.61288297423548,0.11605650000001333,0.43408069999986765
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.90915398925105,34,1,100,,1.0,111.62839809620532,0.1337055999997574,0.46655409999993935
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1838416962080551,35,1,90,,1.0,85.39650520111654,0.11727330000030634,0.4661737000001267
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5905606450167463,36,2,95,,1.0,106.46663133484833,0.11632899999995061,0.46720490000006976
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.484500129766195,37,2,80,,1.0,78.52021887475793,0.1331422000002931,0.3999797999999828
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.597062050880337,38,2,100,,1.0,115.32286286327405,0.11651729999994132,0.4002242000001388
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.805484715029579,39,2,90,,1.0,92.43320105473721,0.11592130000008183,0.45086019999962446
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.193061978669733,40,2,85,,1.0,82.27563809065002,0.1002411999998003,0.5835836999999628
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.19830642069759,41,1,80,"You will now be asked to reach to targets that you have not yet reached to.
You will not receive feedback of any kind for these reaches.Please continue to slice through the target as quickly and accurately as possible.",1.0,77.89581462300502,0.10016899999982343,0.4666222999999263
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.59776186922293,42,1,90,,1.0,89.85676084963168,0.1165141000001313,0.4669811999997364
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.68040978533373,43,1,85,,1.0,81.97861815959398,0.11704589999999371,0.4497118999997838
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.7666790658417,44,1,90,,1.0,87.98773280473458,0.18107389999977386,0.4188256000002184
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.572597799911566,45,1,90,,1.0,86.29430914212998,0.11704529999997249,0.4167752999996992
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.50480246880257,46,1,95,,1.0,111.5839692417696,0.11630369999966206,0.4668467999999848
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.50823111257295,47,1,90,,1.0,88.36342295838327,0.0994434000003821,0.4172275000000809
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.970409720194496,48,1,100,,1.0,105.54853027905742,0.11582959999986997,0.4672529999998005
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.83067851319132,49,2,80,,1.0,71.33119215120473,0.11703840000018317,0.4002099999997881
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.168153991739047,50,2,90,,1.0,84.84441568259376,0.11738779999996041,0.43218069999966247
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.54671843446256,51,2,100,,1.0,106.97389566724401,0.11623550000012983,0.45045729999992545
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.24385863727163,52,2,90,,1.0,87.4900110619207,0.116351399999985,0.467062199999873
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.96700478985304,53,2,85,,1.0,78.12690935015688,0.11708959999987201,0.43250650000027235
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.83414923844362,54,2,90,,1.0,82.00363213341984,0.121982300000127,0.46692829999983587
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.574588011779664,55,2,90,,1.0,86.72951207681643,0.11649619999980132,0.4503628000002209
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.87208134897676,56,2,95,,1.0,106.76930506910792,0.4985255999999936,0.01808600000003935
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.98323972269576,57,3,85,,1.0,78.56455670918676,0.10021050000023024,0.40043249999962427
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.22608294491871,58,3,90,,1.0,83.07144596549443,0.283614999999827,0.2506260000000111
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.152434824481503,59,3,90,,1.0,92.09721818195173,0.11637160000009317,0.400490400000308
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.55293040307298,60,3,90,,1.0,86.85973878234863,0.16642259999980524,0.46774580000010246
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.692780774434674,61,3,95,,1.0,109.22104013487004,0.16759799999999814,0.34969730000011623
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.75066310117976,62,3,80,,1.0,74.63506680847965,0.1665450000000419,0.26674270000012257
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.241017834661424,63,3,90,,1.0,96.8134300885995,0.1001046999999744,0.40030139999998937
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.41488396909321,64,3,100,,1.0,110.22485943116808,0.10054730000001655,0.4837407999998504
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.15597478966169,65,4,80,,1.0,74.90352172084233,0.09937370000034207,0.5344238000002406
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.38613563135785,66,4,90,,1.0,88.02506598911802,0.0997866000002432,0.41767689999960567
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.84027132408856,67,4,90,,1.0,90.33408239174852,0.09995299999991403,0.38372139999955834
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.393671166429144,68,4,90,,1.0,88.15733969334627,0.11627600000019811,0.5010065999999824
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.87641216343053,69,4,100,,1.0,112.46987633905299,0.13313109999990047,0.400601800000004
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.7792663841345,70,4,95,,1.0,107.54132628848318,0.11653329999990092,0.4170197999997072
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.87834206442611,71,4,85,,1.0,87.83620133473077,0.13393059999998513,0.43343750000030923
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.329099211010824,72,4,90,,1.0,88.52086019769396,0.11550269999997909,0.4017639000003328
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.71681988246276,73,5,80,,1.0,73.00085910924625,0.10076260000005277,0.39989779999996244
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.29736056693232,74,5,85,,1.0,80.92727334803243,0.10039099999994505,0.46676750000005995
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.22867275474104,75,5,90,,1.0,88.3017008436638,0.16613909999978205,0.40067279999993843
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.280463503438945,76,5,100,,1.0,114.0265065786792,0.10066060000008292,0.5667547000002742
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38.83268861074154,77,5,90,,1.0,85.17572787739373,0.10003819999974439,0.4497725999999602
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.929656671901405,78,5,90,,1.0,87.80302955450263,0.09950190000017756,0.5505278000000544
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,33.013717079595644,79,5,90,,1.0,85.05914401410544,0.13289499999973486,0.5504387000000861
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.24126040365517,80,5,95,,1.0,111.91018159965212,0.0996396000000459,0.7172712999999931
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.377996332795277,81,6,95,,1.0,108.8456642216871,0.0998314999997092,0.5672973000000638
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.60570247232426,82,6,100,,1.0,121.68966140056679,0.11665190000030634,0.4997137999998813
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.05346924771167,83,6,85,,1.0,82.14668669802178,0.11670800000001691,0.46688970000013796
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.24342786997263,84,6,90,,1.0,92.41272088532128,0.09982860000036453,0.4502226999998129
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.216966632668186,85,6,90,,1.0,84.84791829779377,0.09969090000004144,0.45073720000027606
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.256746641218335,86,6,80,,1.0,69.35506906284155,0.11661569999978383,0.3667155000002822
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.180739988517207,87,6,90,,1.0,91.48145717088708,0.1166825999998764,0.4665864000003239
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.21942228766125,88,6,90,,1.0,86.44294739426064,0.1167091000002074,0.4833591999999953
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35.1055397211821,89,7,90,,1.0,85.65676004831063,0.11594060000015816,0.4006414999998924
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.48319014604801,90,7,90,,1.0,82.9857713561056,0.12856980000015028,0.42207989999997153
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.284356388014466,91,7,100,,1.0,115.7743189806736,0.09889689999999973,0.4499811000000591
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.248024031243794,92,7,90,,1.0,87.09618113490372,0.13339919999998529,0.41682650000029753
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29.58224778497794,93,7,90,,1.0,83.21443082107061,0.09998510000013994,0.39970430000039414
