experiment,condition,subject,block,phase,acc
1,new_learn,28,24,Test,0.24
1,new_learn,28,25,Test,0.4
1,new_learn,28,26,Test,0.48
1,new_learn,28,27,Test,0.32
1,new_learn,28,28,Test,0.68
1,new_learn,28,29,Test,0.44
1,new_learn,28,30,Test,0.56
1,new_learn,28,31,Test,0.52
1,new_learn,28,32,Test,0.76
1,new_learn,28,33,Test,0.72
1,new_learn,28,34,Test,0.68
1,new_learn,28,35,Test,0.875
1,new_learn,29,0,Learn,0.64
1,new_learn,29,1,Learn,0.8
1,new_learn,29,2,Learn,0.6
1,new_learn,29,3,Learn,0.68
1,new_learn,29,4,Learn,0.76
1,new_learn,29,5,Learn,0.64
1,new_learn,29,6,Learn,0.72
1,new_learn,29,7,Learn,0.52
1,new_learn,29,8,Learn,0.68
1,new_learn,29,9,Learn,0.8
1,new_learn,29,10,Learn,0.84
1,new_learn,29,11,Learn,0.52
1,new_learn,29,12,Intervention,0.72
1,new_learn,29,13,Intervention,0.36
1,new_learn,29,14,Intervention,0.68
1,new_learn,29,15,Intervention,0.6
1,new_learn,29,16,Intervention,0.72
1,new_learn,29,17,Intervention,0.52
1,new_learn,29,18,Intervention,0.6
1,new_learn,29,19,Intervention,0.52
1,new_learn,29,20,Intervention,0.4
1,new_learn,29,21,Intervention,0.6
1,new_learn,29,22,Intervention,0.44
1,new_learn,29,23,Intervention,0.6
1,new_learn,29,24,Test,0.36
1,new_learn,29,25,Test,0.56
1,new_learn,29,26,Test,0.56
1,new_learn,29,27,Test,0.52
1,new_learn,29,28,Test,0.4
1,new_learn,29,29,Test,0.4
1,new_learn,29,30,Test,0.52
1,new_learn,29,31,Test,0.52
1,new_learn,29,32,Test,0.4
1,new_learn,29,33,Test,0.6
1,new_learn,29,34,Test,0.4
1,new_learn,29,35,Test,0.5833333333333334
1,new_learn,30,0,Learn,0.4
1,new_learn,30,1,Learn,0.48
1,new_learn,30,2,Learn,0.52
1,new_learn,30,3,Learn,0.68
1,new_learn,30,4,Learn,0.68
1,new_learn,30,5,Learn,0.4
1,new_learn,30,6,Learn,0.64
1,new_learn,30,7,Learn,0.48
1,new_learn,30,8,Learn,0.44
1,new_learn,30,9,Learn,0.48
1,new_learn,30,10,Learn,0.56
1,new_learn,30,11,Learn,0.6
1,new_learn,30,12,Intervention,0.52
1,new_learn,30,13,Intervention,0.48
1,new_learn,30,14,Intervention,0.44
1,new_learn,30,15,Intervention,0.64
1,new_learn,30,16,Intervention,0.48
1,new_learn,30,17,Intervention,0.68
1,new_learn,30,18,Intervention,0.4
1,new_learn,30,19,Intervention,0.6
1,new_learn,30,20,Intervention,0.52
1,new_learn,30,21,Intervention,0.6
1,new_learn,30,22,Intervention,0.56
1,new_learn,30,23,Intervention,0.36
1,new_learn,30,24,Test,0.56
1,new_learn,30,25,Test,0.52
